trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
ccf94453-0892-4ea5-a2c9-5e6dd7173827,0,W2R,14:10:00,14:10:00,,0,1,,,0,0
ccf94453-0892-4ea5-a2c9-5e6dd7173827,1,W2L,14:15:00,14:15:00,,1,0,,,303.09863780647584,0
2589684a-81af-4189-ad2f-8f93ea51651b,0,W2R,14:30:00,14:30:00,,0,1,,,0,0
2589684a-81af-4189-ad2f-8f93ea51651b,1,W2L,14:35:00,14:35:00,,1,0,,,303.09863780647584,0
8bbfe08f-9cbf-41d5-a263-f94b464fd4b5,0,W2R,15:10:00,15:10:00,,0,1,,,0,0
8bbfe08f-9cbf-41d5-a263-f94b464fd4b5,1,W2L,15:15:00,15:15:00,,1,0,,,303.09863780647584,0
2a3035b6-1761-4969-bd16-cdca6f1c8a21,0,W3L,09:30:00,09:30:00,,,,,,0,0
2a3035b6-1761-4969-bd16-cdca6f1c8a21,1,W3R,09:35:00,09:35:00,,,,,,344.23931159071026,0
ca7f5f11-b639-4995-9159-727e78c8a922,0,W3L,10:10:00,10:10:00,,,,,,0,0
ca7f5f11-b639-4995-9159-727e78c8a922,1,W3R,10:15:00,10:15:00,,,,,,344.23931159071026,0
c3ec82c0-d674-48e3-aa58-88c02f071630,0,W3L,12:50:00,12:50:00,,,,,,0,0
c3ec82c0-d674-48e3-aa58-88c02f071630,1,W3R,12:55:00,12:55:00,,,,,,344.23931159071026,0
b12ccaf9-8664-4d32-b667-cf98c0b546ec,0,W3L,13:20:00,13:20:00,,,,,,0,0
b12ccaf9-8664-4d32-b667-cf98c0b546ec,1,W3R,13:25:00,13:25:00,,,,,,344.23931159071026,0
daba357c-8db7-4215-9052-66e7c43ae8fd,0,W3L,14:40:00,14:40:00,,,,,,0,0
daba357c-8db7-4215-9052-66e7c43ae8fd,1,W3R,14:45:00,14:45:00,,,,,,344.23931159071026,0
32aeab4e-c9e4-4c43-aaea-bf2edb3617b0,0,W3L,16:50:00,16:50:00,,,,,,0,0
32aeab4e-c9e4-4c43-aaea-bf2edb3617b0,1,W3R,16:55:00,16:55:00,,,,,,344.23931159071026,0
52560cc4-52ab-4a5f-91d7-c70ec8034dff,0,W2R,19:20:00,19:20:00,,0,1,,,0,0
52560cc4-52ab-4a5f-91d7-c70ec8034dff,1,W2L,19:25:00,19:25:00,,1,0,,,303.09863780647584,0
a67cb742-603a-4f7a-bb32-7b4da68f9af6,0,W2R,13:15:00,13:15:00,,0,1,,,0,0
a67cb742-603a-4f7a-bb32-7b4da68f9af6,1,W2L,13:20:00,13:20:00,,1,0,,,303.09863780647584,0
dcb5032b-31c3-4493-92db-97bb936b54a2,0,W2R,17:00:00,17:00:00,,0,1,,,0,0
dcb5032b-31c3-4493-92db-97bb936b54a2,1,W2L,17:05:00,17:05:00,,1,0,,,303.09863780647584,0
888976df-efdd-4e93-bb99-069cc644521e,0,W3L,18:30:00,18:30:00,,,,,,0,0
888976df-efdd-4e93-bb99-069cc644521e,1,W3R,18:35:00,18:35:00,,,,,,344.23931159071026,0
0e5bf74e-b439-4209-ae85-6c488555b12f,0,W3L,19:30:00,19:30:00,,,,,,0,0
0e5bf74e-b439-4209-ae85-6c488555b12f,1,W3R,19:35:00,19:35:00,,,,,,344.23931159071026,0
95f146a3-0b67-4128-bb3f-a3c2eb5c20f2,0,W3L,12:30:00,12:30:00,,,,,,0,0
95f146a3-0b67-4128-bb3f-a3c2eb5c20f2,1,W3R,12:35:00,12:35:00,,,,,,344.23931159071026,0
99e1cb4e-bb63-4201-af34-ee718cf7c67b,0,W3L,13:00:00,13:00:00,,,,,,0,0
99e1cb4e-bb63-4201-af34-ee718cf7c67b,1,W3R,13:05:00,13:05:00,,,,,,344.23931159071026,0
a7d06713-5a25-4fac-b726-86e0e941b38f,0,W3L,17:15:00,17:15:00,,,,,,0,0
a7d06713-5a25-4fac-b726-86e0e941b38f,1,W3R,17:20:00,17:20:00,,,,,,344.23931159071026,0
1584291c-0f0a-410d-9ca5-20fcc1d883bf,0,W3L,19:15:00,19:15:00,,,,,,0,0
1584291c-0f0a-410d-9ca5-20fcc1d883bf,1,W3R,19:20:00,19:20:00,,,,,,344.23931159071026,0
09068b06-d3e0-46df-84d1-52ba9c268e91,0,W3R,09:40:00,09:40:00,,,,,,0,0
09068b06-d3e0-46df-84d1-52ba9c268e91,1,W3L,09:45:00,09:45:00,,,,,,344.23931159071026,0
a5823989-138c-41a7-b8a0-1a84261fd36c,0,W3R,11:40:00,11:40:00,,,,,,0,0
a5823989-138c-41a7-b8a0-1a84261fd36c,1,W3L,11:45:00,11:45:00,,,,,,344.23931159071026,0
2c0f2eb6-0310-4083-8e0a-ae14fa90ebf9,0,W3R,12:20:00,12:20:00,,,,,,0,0
2c0f2eb6-0310-4083-8e0a-ae14fa90ebf9,1,W3L,12:25:00,12:25:00,,,,,,344.23931159071026,0
8dab7fdb-58e3-4023-bbe1-b8a0c35de06b,0,W3R,12:40:00,12:40:00,,,,,,0,0
8dab7fdb-58e3-4023-bbe1-b8a0c35de06b,1,W3L,12:45:00,12:45:00,,,,,,344.23931159071026,0
c12aac2f-feec-4034-97d9-84ee11d6286a,0,W3R,13:00:00,13:00:00,,,,,,0,0
c12aac2f-feec-4034-97d9-84ee11d6286a,1,W3L,13:05:00,13:05:00,,,,,,344.23931159071026,0
ec4d25a7-f20d-477d-b672-fa236a9ed1cc,0,W3R,14:50:00,14:50:00,,,,,,0,0
ec4d25a7-f20d-477d-b672-fa236a9ed1cc,1,W3L,14:55:00,14:55:00,,,,,,344.23931159071026,0
7a0ce4e9-3c43-4e3e-b9bb-5d8f1f68f6d8,0,W3R,15:30:00,15:30:00,,,,,,0,0
7a0ce4e9-3c43-4e3e-b9bb-5d8f1f68f6d8,1,W3L,15:35:00,15:35:00,,,,,,344.23931159071026,0
cf5f5301-c74b-4f0c-88aa-06cbfbbc03ce,0,W3R,18:00:00,18:00:00,,,,,,0,0
